Genomic bins	9PM-3	9AM-1	9AM-3	9AM-2	9AM-5	9AM-4	9AM-6	9PM-6	9PM-4	9PM-5	9PM-2	ALL-DNA	9PM-1
bin.9	2.53620653792	2.14404536651	5.6767904278	5.74130841556	2.72278356196	5.31419307523	3.35550699163	2.60626106481	3.76392704082	2.56368790653	3.11900819744	3.75376391133	4.09010331117
bin.20	10.993845836	7.19504059493	3.90612539786	0.965118600082	5.31922744631	2.20987157198	5.88134156637	5.5330025175	4.11741284985	5.3361069885	3.01619966415	4.81668316523	3.39249078549
bin.36	2.66659653049	2.38021034092	2.76267090937	2.79515504034	1.65004863473	2.44892811302	4.83586795959	2.25663321086	6.01432983102	1.98816826831	1.34943896702	2.90736436838	3.62683858027
bin.4	5.30923775468	0.703915297358	1.32273650338	2.80518780513	5.26555175739	4.88031659188	4.22693840317	5.50549796161	3.24613411844	5.30429619201	3.05106364883	4.06933424497	8.41688982061
bin.25	4.76017165634	5.13078451598	2.86692740281	7.43607823216	2.05106174728	15.9298709443	9.63931214578	3.95979876394	0.799159494576	1.99677450225	3.59046567325	5.75791233555	7.04274374155
bin.22	40.9843720477	12.1417344174	14.3748168204	6.69810515994	20.3870660418	3.23577117133	6.27986718774	8.96977980397	6.70539211037	4.13498872638	20.0070565137	13.3433023847	15.4865366088
bin.10	3.10616221112	0.967386518494	4.81578788847	3.49798771359	3.03560538804	3.12979338057	1.17497217925	4.54945187873	1.42093894282	2.78420106604	2.39953535436	2.6711352554	0.722115619454
bin.27	4.38993741218	3.28179540044	2.18474613458	2.41531427493	10.6951760889	2.33314692672	12.6220934797	1.23564727335	0.634066831074	1.20327476091	3.43216302737	3.82674029416	2.16356960425
bin.15	5.85671975371	6.97090131694	2.84043560546	3.36935253713	4.85253003428	4.26634690704	3.86819587667	4.10678072706	6.21588505313	4.07800008512	1.44893603537	4.15847124676	1.91593288913
bin.17	4.33363546148	5.14992053559	4.32219094293	1.53134796738	3.29212842355	8.58125036382	3.88721478344	5.22070197395	2.47228730804	3.73061298774	2.81382011116	4.99237628148	13.5622014972
bin.3	20.8271912217	4.63324271283	5.06472391206	3.9470314534	7.87467853292	6.81222646446	4.54260250644	8.4846935528	6.26525302989	4.06285482864	9.75085668887	7.38375166452	6.35740908812
bin.38	3.83441238312	2.60260428798	5.99230015232	13.7876582751	8.25299437265	3.68106123008	7.78465586059	7.41460105834	3.39370026284	6.86880931835	16.9684695413	7.68847830422	13.0110701208
bin.33	1.86346322196	3.84121666142	6.55787747799	2.94648228794	4.58455958501	6.34770657495	3.94673115767	1.649792581	3.14611678735	3.28713521972	8.74370391581	4.29799871889	3.9275696545
bin.2	2.13415294699	2.00472174702	0.12535454201	1.67689479621	1.05679007996	1.55642025595	0.671940322426	0.834002687292	1.40509259809	0.66827260797	5.27224497671	1.75069406468	3.88221649646
bin.5	2.72442499678	6.63311134916	3.0018631905	1.14565166015	10.458973153	2.68239274304	4.09445283588	1.25379673063	2.65064422689	1.56886050005	2.93306288972	3.34501937381	1.85774157296
bin.11	0.953749050951	0.383923265422	2.98174490085	3.2160268688	2.6514640126	1.3746115388	2.08468405928	1.0915703515	1.38871033554	1.11738580739	3.06330069086	1.81579890263	1.2830323756
bin.31	5.24465546479	2.20729446562	1.68761812856	13.485297143	2.49597167865	0.810366809362	7.26912304093	0.968914628362	14.7629378783	0.864408044672	2.29550528818	4.65148237695	3.37562949412
bin.7	1.0734602848	1.4928644658	2.6843095655	1.7036719239	6.21042504804	3.77389051425	3.77466615489	3.13778983235	2.60238836114	1.78661638445	3.58228376394	3.06859510902	5.93652192506
bin.14	0.72455429197	0.909965947109	3.54744765758	6.33005893004	0.514447354495	1.80051788484	0.702491132565	2.09902750035	3.16703948197	1.17645659368	0.998031747132	2.01655906247	1.19174229376
bin.13	32.3552930277	0.906754955416	1.08316679517	1.20749156583	1.90709114116	0.814764047949	1.11220502577	1.14987606119	1.31740666348	0.881483785795	14.3031636749	4.9836128392	1.28630693122
bin.18	0.878083027928	1.74445263282	4.62497225019	2.5879972327	3.06714217609	2.88309523521	2.19365343687	2.348600233	3.02379732953	7.37185387858	1.98416401627	2.9830654981	3.2949025256
bin.34	1.63962290764	0.524332341536	2.24968071667	0.895817714488	4.17934339437	0.704914978332	0.574764978234	2.52934212526	13.3859753146	3.79429023605	5.16471310223	2.86654594342	1.92433088802
bin.28	2.50545370975	0.794105294714	0.336693149256	1.60477789799	18.3677322529	2.6929296075	0.372718191493	1.26168669878	1.10792376061	4.87350769036	0.412994832505	2.57963607275	0.311163663441
