Genomic bins	9PM-2-mRNA	9AM-1-mRNA	9AM-6-mRNA	9PM-4-mRNA	9AM-2-mRNA	9AM-4-mRNA	ALL-mRNA	9AM-5-mRNA	9PM-6-mRNA	9PM-1-mRNA	9AM-3-mRNA	9PM-5-mRNA	9PM-3-mRNA
bin.9	6.00092718458	5.57037449731	10.714098139	9.50284169386	9.16623580336	14.0983792821	9.57398529568	9.59584080495	5.62329740338	9.04632845734	16.388930232	7.79668048848	10.7208108878
bin.20	5.33482036161	10.6804670214	5.56294140096	4.36276827256	1.22780892014	2.95723744917	4.81652191257	5.17649407425	3.29264546817	2.11963209593	5.07750940234	6.53428000885	5.9416114398
bin.36	0.926167763645	1.13267447896	2.72711084131	0.805281427465	1.020917824	1.71879191761	1.43201778322	1.43494184155	1.00970365936	2.39325226544	1.63394953906	1.3696309167	1.34719924596
bin.4	2.89348897847	1.44038466336	7.25057709365	6.43309115056	3.0098321706	5.87255116001	5.7265533063	10.4597445973	5.95052866259	2.67282017816	4.13371311682	13.9243768165	8.16060637886
bin.25	0.653149115408	0.316040030714	1.20449584591	0.207485746955	0.544271557143	2.31923186664	0.661480887149	0.229310721154	0.872604047545	0.592196741647	0.472503374443	0.643481227954	0.372736576841
bin.22	1.92280645668	2.9516882045	2.88553185171	1.15109219786	1.01071194139	2.36957139072	2.50072768188	5.98018039387	2.39338339019	0.905921554084	2.70110986949	2.14629248327	4.13710496042
bin.10	0.507525792792	0.57455219978	1.18602924893	0.685162575225	0.451932181406	2.27002148771	0.924177407369	1.10709959743	1.63469105617	0.259295674596	0.900621591719	0.956693771033	1.07382099034
bin.27	0.193602034401	0.0821004226751	1.21373093689	0.111032674164	0.0913774766493	0.16705322528	0.313130117737	0.582172146389	0.212179389159	0.0675047917596	0.192863577509	0.79610281446	0.383522833739
bin.15	3.47749495764	3.80374826002	3.63503486623	2.53107598499	2.41841209608	3.7017713267	3.39283146645	3.73769007183	4.24572541686	2.08875549381	2.34631752195	3.36588054767	5.78616050372
bin.17	1.31500796036	4.2008081811	6.90559489762	2.20614030953	2.12576416059	7.61491792788	4.80487708421	5.13543212219	4.61867158844	3.17402727796	7.43256884343	7.51320852711	7.63917468817
bin.3	1.57468175286	1.39008172157	1.71304249246	1.49745454097	0.62655938105	3.73131872143	1.5472417297	1.86070751443	0.887330979731	0.654002524994	1.43364055793	1.12587954085	2.42342712444
bin.38	6.83284957114	1.27255295694	4.9123290355	3.80557491019	3.45840221517	2.54769688558	3.83171172062	4.38103814362	4.17149922338	4.14357063816	3.10061843962	4.57143236746	3.07740765635
bin.33	2.67808152501	1.72172902165	1.98367584648	2.12371584906	1.70720976265	3.83278757189	2.0381472076	1.70166899863	1.47445250959	1.42480832694	2.31527803607	2.5258883624	1.34162106053
bin.2	0.616762381895	0.350632268818	0.0535619108147	0.486794234532	0.209087937385	0.128876282003	0.298981603205	0.0827660519116	0.090535842619	0.250684977507	0.0554845203508	0.673561876084	0.570255095668
bin.5	2.36741399277	2.32717783898	1.72349703559	2.5057493249	1.00931354766	2.36703719454	2.00893315367	4.5285076607	0.948100850702	0.782850061274	2.11451114295	1.74023527032	1.72966936763
bin.11	0.0928136369002	0.0487781320435	0.659899832722	0.210096903014	0.153367234917	0.0702783397194	0.239570046632	0.220607867239	0.721724898793	0.176766387536	0.236235658326	0.305993617423	0.0971003222642
bin.31	0.731827968226	0.891953083539	1.86239074447	0.995265248648	2.08663095359	0.679753311685	1.32936634394	1.00624119506	0.526937673746	1.44325265773	0.921379811453	0.623048174107	3.59854339525
bin.7	1.49181987365	0.905916680997	1.38701915246	0.916630311674	0.82360692246	1.40381205548	1.27237461409	2.24139144367	1.74589698496	1.242993659	1.16454878529	1.14156515367	1.12654740707
bin.14	0.732959566043	0.112898078109	0.180505819792	2.11848095343	3.43364290102	0.506022362903	0.99193526834	0.103532695223	0.838668193115	0.222452724117	1.13889438281	0.614009469795	0.831637096625
bin.13	0.3397085041	0.300254293936	0.530493740454	0.335202256189	0.242131063837	0.419916826841	0.386869362578	0.437128165466	0.364082069791	0.177838445063	0.515116513829	0.431938085472	0.564201549621
bin.18	1.38681254198	0.64154909215	1.09150188818	3.52718805471	0.732862815188	1.47119500963	1.41866776492	0.996571927232	1.02140631313	1.30323114439	1.35634644473	2.17462565438	1.11269187368
bin.34	1.99431906425	0.482102578173	0.711647833104	9.38685873993	1.46482418851	0.854021121875	2.45551737376	4.14308692724	2.43152801989	1.63633364855	1.57720242073	1.82320415002	1.18439154087
bin.28	0.144155485297	0.558886524063	0.313056999544	0.300290641878	0.292905877455	5.2448147278	1.37166727843	8.25758407551	0.610615026996	0.141669630868	0.22173667429	1.69549475371	0.507365957301
bin.algae	24.424239012	16.1719036242	17.6480228747	22.6245145781	14.2759406029	15.3472214738	22.3806582886	31.5690524607	39.2621602624	21.2304696374	17.2366003666	29.262742757	23.8233931576
bin.37	1.19196648549	1.50884324934	3.30427085614	1.26937673636	1.02959793465	1.76301010553	1.60428163394	2.3588579564	1.09256087286	0.474256113767	2.98397928767	1.34774650737	1.11635067334
bin.21	14.1160823448	3.33653383007	10.1737982101	16.6302896809	11.0249597381	8.79707366719	9.19211502539	10.5055953	3.94295720922	5.56358190763	4.97029369641	17.1124886933	4.70504542813
bin.19	11.246727817	8.00527116954	9.63274933437	5.30106148993	9.66670809913	8.61047432746	9.03372137268	7.42877281145	5.02641686091	13.2265991583	7.80411964151	10.4140301074	12.03153668
bin.32	1.52708147806	1.48557915704	1.9313998449	1.20812937583	0.962354139264	1.43503919386	1.42805457037	1.68409547875	1.59661959229	0.812427595307	1.90973868589	1.3883093299	1.30784901415
bin.35	4.47105170311	0.510248298373	1.20285075222	2.96879279696	3.12409780776	1.19062888333	2.10662513999	1.11223907272	3.54163068931	1.02367970074	0.621881155047	5.31441327977	0.787447999435
bin.30	6.56889029075	4.45347320484	5.9801298531	6.285122731	7.36057749406	6.06784923906	6.25997470827	6.37623214836	7.01809183748	5.99831094168	5.10946133203	7.91186173576	6.30332797273
bin.16	1.188398358	1.24565886933	1.39672877811	0.718594578648	0.994104713241	1.50121143484	0.998684098356	0.492727908418	1.58237246987	0.477256576985	0.971302150088	0.933890153908	0.670318060818
bin.8	3.00574239036	3.18838351736	4.27459403152	1.67420539805	2.06682843153	5.23506071701	2.9315881927	1.64532925142	2.88245613674	1.05156089489	5.7319825291	2.65673736695	2.25631571038
bin.29	22.433973782	16.2570945868	31.5825388651	13.6306123621	26.8779888315	33.8491070524	25.8035446599	13.408910759	27.4421094775	42.0331955846	37.6480735809	16.5278479979	27.072503078
bin.6	106.413146308	128.126703794	67.4762650897	128.900183133	114.622988896	89.2438452158	94.1551508525	102.771111105	63.8992996796	90.4093577966	67.5815189539	45.9967648499	90.6988917402
bin.12	4.34513017811	1.14308988812	3.47584445788	3.80515502567	3.45430597869	3.33915325755	3.23679456188	3.73507150893	3.34661628188	2.97266859421	1.94242427825	4.62863447805	3.09456788904
bin.1	58.6925908455	131.507276085	103.185140957	208.008242428	345.751715149	62.9666682542	166.293064358	59.6968036408	30.7316964859	403.277410769	86.3510618457	114.77574032	281.349743327
